start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254263.731766,254264.732567,59,59,1.001,33.352,0,0,0,0,0,16,99,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254264.732567,254265.683219,60,57,0.951,16.859,0,0,0,0,0,16,100,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254265.683219,254266.417688,28.6,21,0.734,400.743,0,0,1,0,0,8,53.11,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254265.699889,254266.567855,35.7,31,0.868,367.116,0,0,1,0,0,11,60.83,0,com.qiyi.video,"com.huawei.android.FloatTasks.views.FloatView#0"
254259.144678,254267.819302,47.2,37,0.784,116.814,7.89,1,1,0,0,31,84.05,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254139.044125,254269.754001,56.6,34,0.6,33.351,130.109,2,0,0,0,9,96.6,0,com.huawei.android.launcher,"com.huawei.android.FloatTasks.views.FloatView#0"
254267.819302,254274.641000,20.7,37,1.785,350.312,5.036,3,6,1,0,10,44.6,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254259.361364,254279.161375,43.2,44,1.018,150.124,18.783,5,1,2,0,33,75.98,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254274.641000,254279.211647,35.4,26,0.734,166.803,3.837,4,2,0,2,14,66.39,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254279.344941,254280.312380,30,29,0.967,283.72,0,0,3,0,0,26,56.01,0,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.SplashActivity#0"
254280.912793,254282.531521,36.7,38,1.035,300.808,0.584,1,2,0,0,7,62.82,0,com.qq.ac.android,"com.qq.ac.android/com.qq.ac.android.view.activity.MainActivity#0"
